Genre,Total,Titles,#1 Title,Lifetime Gross,Average Per Release
Asia,"$914,501,574 ",18,The Wolverine,"$132,556,852 ","$50,805,643 "
Near Future,"$4,693,166,157 ",93,I Am Legend,"$256,393,010 ","$50,464,152 "
Terror in the Water,"$1,129,220,875 ",23,Jaws,"$265,859,065 ","$49,096,560 "
Louisiana,"$1,314,172,567 ",27,Catch Me If You Can,"$164,615,351 ","$48,673,058 "
New Orleans,"$1,314,172,567 ",27,Catch Me If You Can,"$164,615,351 ","$48,673,058 "
Revenge,"$3,682,020,491 ",76,Deadpool,"$363,070,709 ","$48,447,638 "
Chick Flick,"$724,646,837 ",15,Terms of Endearment,"$108,423,489 ","$48,309,789 "
Mexico,"$1,206,826,301 ",25,Coco,"$210,460,015 ","$48,273,052 "
God,"$866,121,608 ",18,Bruce Almighty,"$242,829,261 ","$48,117,867 "
Deity,"$866,121,608 ",18,Bruce Almighty,"$242,829,261 ","$48,117,867 "
Christmas Theme,"$3,637,520,295 ",76,Home Alone,"$285,761,243 ","$47,862,109 "
North America,"$7,529,052,690 ",158,The Hangover,"$277,339,746 ","$47,652,232 "
USA,"$6,322,226,389 ",133,The Hangover,"$277,339,746 ","$47,535,537 "
Summer,"$7,131,402,626 ",153,Forrest Gump,"$330,455,270 ","$46,610,475 "
Environmentalist,"$2,306,903,849 ",50,Avatar,"$785,221,649 ","$46,138,077 "
World War I,"$782,624,657 ",17,Wonder Woman,"$412,845,172 ","$46,036,745 "
Animation,"$32,961,390,040 ",720,Incredibles 2,"$608,581,744 ","$45,779,708 "
Girl Power,"$1,256,257,246 ",28,Freaky Friday,"$110,230,332 ","$44,866,330 "
Physically Afflicted Character,"$1,201,427,303 ",27,Avatar,"$785,221,649 ","$44,497,308 "
Afflicted Character,"$1,201,427,303 ",27,Avatar,"$785,221,649 ","$44,497,308 "
President,"$1,955,510,465 ",44,Independence Day,"$306,169,268 ","$44,443,420 "
Politician,"$1,955,510,465 ",44,Independence Day,"$306,169,268 ","$44,443,420 "
Teenager,"$2,796,342,572 ",64,The Twilight Saga: Eclipse,"$300,531,751 ","$43,692,853 "
School,"$4,747,689,810 ",109,Spider-Man: Homecoming,"$334,201,140 ","$43,556,787 "
Video Game Adaptation,"$2,118,768,713 ",49,Sonic the Hedgehog,"$148,974,665 ","$43,240,178 "
Wedding,"$2,505,324,424 ",58,My Big Fat Greek Wedding,"$241,438,208 ","$43,195,249 "
Paris,"$2,193,737,657 ",51,The Da Vinci Code,"$217,536,138 ","$43,014,464 "
France,"$2,193,737,657 ",51,The Da Vinci Code,"$217,536,138 ","$43,014,464 "
Road Trip,"$2,418,108,896 ",57,Wild Hogs,"$168,273,550 ","$42,422,963 "
Bawdy Comedy,"$5,040,279,972 ",119,The Hangover,"$277,339,746 ","$42,355,294 "
Football,"$2,483,587,343 ",60,Forrest Gump,"$330,455,270 ","$41,393,122 "
Bumbling Character,"$1,596,079,706 ",39,Paul Blart: Mall Cop,"$146,336,178 ","$40,925,121 "
Vampire,"$3,345,427,691 ",82,The Twilight Saga: Eclipse,"$300,531,751 ","$40,797,899 "
University,"$2,106,701,584 ",53,Monsters University,"$268,492,764 ","$39,749,086 "
Terrorism,"$2,085,806,434 ",54,Air Force One,"$172,956,409 ","$38,626,045 "
Europe,"$2,650,030,547 ",69,The Da Vinci Code,"$217,536,138 ","$38,406,240 "
Found Footage,"$1,224,444,244 ",32,The Blair Witch Project,"$140,539,099 ","$38,263,883 "
Aquatic Vehicle,"$381,543,668 ",10,The Hunt for Red October,"$122,012,643 ","$38,154,367 "
Submarine,"$381,543,668 ",10,The Hunt for Red October,"$122,012,643 ","$38,154,367 "
Vigilante,"$416,561,073 ",11,Gran Torino,"$148,095,302 ","$37,869,188 "
Explorer,"$717,353,726 ",19,Up,"$293,004,164 ","$37,755,459 "
Heist,"$4,414,164,730 ",117,Inception,"$292,587,330 ","$37,727,904 "
Caper,"$4,414,164,730 ",117,Inception,"$292,587,330 ","$37,727,904 "
Pregnancy,"$1,261,556,383 ",34,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133 ","$37,104,600 "
Sports Coach,"$1,177,585,654 ",32,Remember the Titans,"$115,719,751 ","$36,799,552 "
Children,"$661,972,131 ",18,The Muppets,"$88,631,237 ","$36,776,230 "
Assassin,"$2,887,719,284 ",79,The Bourne Ultimatum,"$227,471,070 ","$36,553,409 "
Murderer,"$2,903,062,030 ",80,The Bourne Ultimatum,"$227,471,070 ","$36,288,275 "
Criminal,"$7,594,378,288 ",210,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 ","$36,163,706 "
Vehicle,"$757,340,032 ",21,The Hunt for Red October,"$122,012,643 ","$36,063,811 "
New Year's Eve,"$711,199,695 ",20,Sleepless in Seattle,"$126,808,165 ","$35,559,985 "
Erotica,"$6,145,274,386 ",175,The Hangover,"$277,339,746 ","$35,115,854 "
Slacker,"$2,273,957,446 ",65,Ted,"$218,815,487 ","$34,983,961 "
Hostage,"$1,710,763,110 ",49,Air Force One,"$172,956,409 ","$34,913,533 "
Inspirational,"$837,680,653 ",24,Dead Poets Society,"$95,860,116 ","$34,903,361 "
1900s,"$2,809,822,332 ",81,X-Men: Days of Future Past,"$233,921,534 ","$34,689,165 "
1970s,"$2,809,822,332 ",81,X-Men: Days of Future Past,"$233,921,534 ","$34,689,165 "
Kidnapping,"$1,074,251,727 ",31,Taken,"$145,000,989 ","$34,653,282 "
Crime,"$1,074,251,727 ",31,Taken,"$145,000,989 ","$34,653,282 "
Role Swap,"$656,780,782 ",19,Big,"$115,227,281 ","$34,567,410 "
Switched Bodies,"$656,780,782 ",19,Big,"$115,227,281 ","$34,567,410 "
Taxi,"$375,796,364 ",11,Collateral,"$101,005,703 ","$34,163,306 "
Automobile,"$375,796,364 ",11,Collateral,"$101,005,703 ","$34,163,306 "
Firefighter,"$579,290,363 ",17,I Now Pronounce You Chuck & Larry,"$120,059,556 ","$34,075,904 "
Medieval Times,"$1,185,779,960 ",35,Robin Hood: Prince of Thieves,"$165,493,908 ","$33,879,427 "
High School,"$2,502,151,032 ",75,Spider-Man: Homecoming,"$334,201,140 ","$33,362,014 "
Past,"$21,804,333,895 ",659,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 ","$33,087,001 "
News Industry,"$1,677,495,958 ",51,Bruce Almighty,"$242,829,261 ","$32,892,078 "
Dog,"$2,399,598,910 ",75,Scooby-Doo,"$153,322,074 ","$31,994,652 "
Stalker,"$1,215,528,942 ",38,Fatal Attraction,"$156,645,693 ","$31,987,604 "
Brainwashing,"$155,496,404 ",5,The Manchurian Candidate,"$65,955,630 ","$31,099,281 "
Historical War,"$3,194,827,335 ",105,Wonder Woman,"$412,845,172 ","$30,426,927 "
Serial Killer,"$1,915,936,867 ",63,Hannibal,"$165,092,268 ","$30,411,696 "
Teacher,"$1,841,394,246 ",65,The Karate Kid,"$176,591,618 ","$28,329,142 "
Educator,"$1,841,394,246 ",65,The Karate Kid,"$176,591,618 ","$28,329,142 "
Cross-dressing,"$1,128,720,970 ",40,Mrs. Doubtfire,"$219,195,243 ","$28,218,024 "
Torture,"$893,021,921 ",32,Saw II,"$87,039,965 ","$27,906,935 "
Boxing,"$1,528,968,740 ",55,Rocky IV,"$127,873,716 ","$27,799,432 "
Combat Sport,"$1,528,968,740 ",55,Rocky IV,"$127,873,716 ","$27,799,432 "
Witch,"$582,317,275 ",21,The Blair Witch Project,"$140,539,099 ","$27,729,394 "
Satire,"$1,274,184,548 ",46,The Truman Show,"$125,618,201 ","$27,699,664 "
World War II,"$2,412,202,678 ",88,Saving Private Ryan,"$217,049,603 ","$27,411,394 "
Cooking,"$573,185,116 ",21,Ratatouille,"$206,445,654 ","$27,294,529 "
Sports,"$11,533,389,694 ",423,Furious 7,"$353,007,020 ","$27,265,697 "
Martial Arts,"$4,833,476,146 ",181,The Matrix Reloaded,"$281,576,461 ","$26,704,288 "
Mother,"$1,378,916,374 ",52,Mamma Mia!,"$144,169,664 ","$26,517,623 "
Female Character,"$1,378,916,374 ",52,Mamma Mia!,"$144,169,664 ","$26,517,623 "
Puppetry,"$499,649,692 ",19,The Muppets,"$88,631,237 ","$26,297,352 "
Slasher,"$2,619,720,055 ",102,Halloween,"$159,342,015 ","$25,683,530 "
Team Sport,"$5,053,607,602 ",198,Forrest Gump,"$330,455,270 ","$25,523,271 "
Spoof,"$2,693,365,585 ",106,Austin Powers in Goldmember,"$213,307,889 ","$25,409,109 "
Italy,"$456,292,890 ",18,The Talented Mr. Ripley,"$81,298,265 ","$25,349,605 "
Con Artist,"$1,417,113,980 ",56,Catch Me If You Can,"$164,615,351 ","$25,305,607 "
Olympics,"$424,760,350 ",17,Blades of Glory,"$118,594,548 ","$24,985,903 "
Baseball,"$1,183,955,859 ",48,A League of Their Own,"$107,533,928 ","$24,665,747 "
Media Industry,"$4,392,375,378 ",184,Bruce Almighty,"$242,829,261 ","$23,871,605 "
Horse,"$762,235,122 ",33,Seabiscuit,"$120,277,854 ","$23,098,034 "
Romantic Comedy,"$14,191,142,550 ",617,My Big Fat Greek Wedding,"$241,438,208 ","$23,000,231 "
Political Campaign,"$780,800,923 ",34,The Campaign,"$86,907,746 ","$22,964,733 "
Ice Hockey,"$390,312,249 ",17,Miracle,"$64,378,093 ","$22,959,544 "
Thanksgiving,"$456,478,041 ",20,Jack and Jill,"$74,158,157 ","$22,823,902 "
Sibling,"$597,053,275 ",27,Twins,"$111,938,388 ","$22,113,084 "
Twin,"$597,053,275 ",27,Twins,"$111,938,388 ","$22,113,084 "
Music,"$5,003,400,480 ",229,Bohemian Rhapsody,"$216,668,042 ","$21,848,910 "
Corrupt Police Officer,"$815,158,895 ",38,The Departed,"$132,399,394 ","$21,451,550 "
Police Officer,"$815,158,895 ",38,The Departed,"$132,399,394 ","$21,451,550 "
Corrupt Character,"$815,158,895 ",38,The Departed,"$132,399,394 ","$21,451,550 "
Law Enforcement,"$815,158,895 ",38,The Departed,"$132,399,394 ","$21,451,550 "
Actual Events Adaptation,"$1,221,897,996 ",57,Catch Me If You Can,"$164,615,351 ","$21,436,807 "
Stop Motion,"$728,069,427 ",35,Chicken Run,"$106,834,564 ","$20,801,984 "
Zombie,"$1,382,038,671 ",67,World War Z,"$202,807,711 ","$20,627,443 "
Black Comedy,"$1,810,237,278 ",88,Horrible Bosses,"$117,538,559 ","$20,570,878 "
Entertainment Industry,"$2,714,879,420 ",133,Who Framed Roger Rabbit,"$156,452,370 ","$20,412,627 "
Movie Industry,"$2,714,879,420 ",133,Who Framed Roger Rabbit,"$156,452,370 ","$20,412,627 "
Horror Comedy,"$2,416,050,392 ",127,Ghostbusters,"$243,578,797 ","$19,024,019 "
Hip-Hop,"$685,583,080 ",37,Straight Outta Compton,"$161,197,785 ","$18,529,272 "
Dance,"$1,855,877,920 ",101,Magic Mike,"$113,781,613 ","$18,375,029 "
Golf,"$204,062,836 ",12,Tin Cup,"$53,854,588 ","$17,005,236 "
Basketball,"$814,291,565 ",49,Space Jam,"$90,594,962 ","$16,618,195 "
Politics,"$3,858,644,739 ",239,Captain America: The Winter Soldier,"$259,766,572 ","$16,144,957 "
Extreme Sport,"$785,693,229 ",50,xXx,"$142,109,382 ","$15,713,865 "
Serial Killer,"$15,342,746 ",1,The Little Things,"$15,342,746 ","$15,342,746 "
Play Adaptation,"$591,521,808 ",44,A Few Good Men,"$141,340,178 ","$13,443,677 "
Irish Culture,"$905,826,266 ",69,The Departed,"$132,399,394 ","$13,127,917 "
Christian Theme,"$2,211,765,903 ",184,The Passion of the Christ,"$370,782,930 ","$12,020,467 "
Religious Theme,"$2,211,765,903 ",184,The Passion of the Christ,"$370,782,930 ","$12,020,467 "
New Jersey,"$286,409,862 ",25,Cop Land,"$44,862,187 ","$11,456,394 "
Contemporary Musical Concert,"$360,862,516 ",35,Justin Bieber: Never Say Never,"$73,013,910 ","$10,310,358 "
Stand-up Comedy Performance,"$254,847,429 ",25,Eddie Murphy: Raw,"$50,504,655 ","$10,193,897 "
Spoken Word Performance,"$254,847,429 ",25,Eddie Murphy: Raw,"$50,504,655 ","$10,193,897 "
Twentysomething Character,"$273,036,581 ",30,About Last Night,"$38,702,310 ","$9,101,219 "
Neo-Noir,"$606,935,545 ",72,Sin City,"$74,103,820 ","$8,429,660 "
Surfing,"$223,145,513 ",27,Surf's Up,"$58,867,694 ","$8,264,649 "
Musical Performance,"$665,574,180 ",85,Justin Bieber: Never Say Never,"$73,013,910 ","$7,830,284 "
Concert,"$638,407,410 ",84,Justin Bieber: Never Say Never,"$73,013,910 ","$7,600,088 "
Soccer,"$188,487,876 ",25,Kicking & Screaming,"$52,842,724 ","$7,539,515 "
Staged Performance,"$674,634,633 ",91,Justin Bieber: Never Say Never,"$73,013,910 ","$7,413,567 "
Mockumentary,"$281,204,040 ",38,Borat,"$128,505,958 ","$7,400,106 "
Nature Theme,"$280,771,564 ",38,March of the Penguins,"$77,437,223 ","$7,388,725 "
LGBTQ Theme,"$2,110,740,739 ",349,Bohemian Rhapsody,"$216,668,042 ","$6,047,968 "
Homosexual Theme,"$2,110,740,739 ",349,Bohemian Rhapsody,"$216,668,042 ","$6,047,968 "
Anthology,"$146,953,739 ",36,Twilight Zone: The Movie,"$29,450,919 ","$4,082,048 "
Anime,"$500,381,681 ",124,Pokémon: The First Movie - Mewtwo Strikes Back,"$85,744,662 ","$4,035,336 "
Foreign Language,"$2,398,066,239 ","2,499","Crouching Tiger, Hidden Dragon","$128,418,870 ","$959,610 "
Documentary,"$1,683,119,813 ","2,057",Fahrenheit 9/11,"$119,194,771 ","$818,240 "
