Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
7-Sep,Wednesday,250,"$2,837,347 ",-13.90%,-19.70%,38,After Ever Happy,"$555,056 "
8-Sep,Thursday,251,"$2,299,144 ",-19%,-28.50%,40,After Ever Happy,"$395,645 "
9-Sep,Friday,252,"$10,701,752 ",365.50%,20.80%,47,Barbarian,"$3,843,956 "
10-Sep,Saturday,253,"$14,077,942 ",31.50%,-25%,47,Barbarian,"$3,962,988 "
11-Sep,Sunday,254,"$9,196,286 ",-34.70%,-37.70%,46,Barbarian,"$2,737,004 "
12-Sep,Monday,255,"$2,827,557 ",-69.30%,-76.30%,45,Barbarian,"$1,017,924 "
13-Sep,Tuesday,256,"$4,000,814 ",41.50%,21.40%,44,Barbarian,"$1,337,647 "
14-Sep,Wednesday,257,"$2,747,409 ",-31.30%,-3.20%,45,Barbarian,"$940,974 "
15-Sep,Thursday,258,"$2,363,949 ",-14%,2.80%,42,Barbarian,"$774,940 "
16-Sep,Friday,259,"$14,406,673 ",509.40%,34.60%,50,The Woman King,"$6,818,682 "
17-Sep,Saturday,260,"$17,100,115 ",18.70%,21.50%,52,The Woman King,"$7,121,993 "
18-Sep,Sunday,261,"$11,742,235 ",-31.30%,27.70%,51,The Woman King,"$5,110,767 "
19-Sep,Monday,262,"$3,880,097 ",-67%,37.20%,48,The Woman King,"$1,437,012 "
20-Sep,Tuesday,263,"$5,211,892 ",34.30%,30.30%,48,The Woman King,"$2,115,447 "
21-Sep,Wednesday,264,"$3,745,150 ",-28.10%,36.30%,48,The Woman King,"$1,337,259 "
22-Sep,Thursday,265,"$3,230,224 ",-13.70%,36.60%,48,The Woman King,"$1,212,564 "
23-Sep,Friday,266,"$20,159,356 ",524.10%,39.90%,47,Don't Worry Darling,"$9,469,881 "
24-Sep,Saturday,267,"$21,281,664 ",5.60%,24.50%,47,Don't Worry Darling,"$5,777,095 "
25-Sep,Sunday,268,"$14,431,146 ",-32.20%,22.90%,47,Don't Worry Darling,"$4,106,237 "
26-Sep,Monday,269,"$5,269,152 ",-63.50%,35.80%,45,Don't Worry Darling,"$1,668,649 "
27-Sep,Tuesday,270,"$6,003,902 ",13.90%,15.20%,44,Don't Worry Darling,"$2,006,011 "
28-Sep,Wednesday,271,"$4,096,881 ",-31.80%,9.40%,43,Don't Worry Darling,"$1,322,508 "
29-Sep,Thursday,272,"$4,153,601 ",1.40%,28.60%,46,Don't Worry Darling,"$1,154,262 "
30-Sep,Friday,273,"$19,336,153 ",365.50%,-4.10%,46,Smile,"$8,234,402 "
1-Oct,Saturday,274,"$22,876,709 ",18.30%,7.50%,46,Smile,"$8,615,905 "
2-Oct,Sunday,275,"$14,706,576 ",-35.70%,1.90%,47,Smile,"$5,759,618 "
3-Oct,Monday,276,"$4,782,388 ",-67.50%,-9.20%,44,Smile,"$2,201,431 "
4-Oct,Tuesday,277,"$6,726,815 ",40.70%,12%,43,Smile,"$2,981,567 "
5-Oct,Wednesday,278,"$5,442,160 ",-19.10%,32.80%,44,Smile,"$2,410,604 "
6-Oct,Thursday,279,"$4,795,451 ",-11.90%,15.50%,45,Smile,"$2,091,135 "
7-Oct,Friday,280,"$16,684,348 ",247.90%,-13.70%,41,Smile,"$5,416,339 "
8-Oct,Saturday,281,"$21,686,777 ",30%,-5.20%,41,Smile,"$7,450,041 "
9-Oct,Sunday,282,"$15,440,552 ",-28.80%,5%,41,Smile,"$5,676,188 "
Oct 10Indig. Peoples' Day,Monday,283,"$7,904,958 ",-44%,-48.80%,39,Smile,"$2,665,031 "
11-Oct,Tuesday,284,"$5,856,705 ",-25.90%,-12.90%,37,Smile,"$2,084,533 "
12-Oct,Wednesday,285,"$4,441,233 ",-24.20%,-18.40%,39,Smile,"$1,659,865 "
13-Oct,Thursday,286,"$4,127,828 ",-7.10%,-13.90%,39,Smile,"$1,521,240 "
14-Oct,Friday,287,"$29,954,983 ",625.70%,79.50%,34,Halloween Ends,"$20,375,495 "
15-Oct,Saturday,288,"$27,225,421 ",-9.10%,25.50%,35,Halloween Ends,"$13,032,850 "
16-Oct,Sunday,289,"$15,516,864 ",-43%,0.50%,35,Halloween Ends,"$6,642,010 "
17-Oct,Monday,290,"$4,775,384 ",-69.20%,-39.60%,35,Halloween Ends,"$1,751,325 "
18-Oct,Tuesday,291,"$5,793,095 ",21.30%,-1.10%,35,Halloween Ends,"$2,085,660 "
19-Oct,Wednesday,292,"$4,142,565 ",-28.50%,-6.70%,35,Halloween Ends,"$1,274,995 "
20-Oct,Thursday,293,"$3,484,078 ",-15.90%,-15.60%,34,Smile,"$1,062,103 "
21-Oct,Friday,294,"$41,169,215 ",1081.60%,37.40%,34,Black Adam,"$26,688,324 "
22-Oct,Saturday,295,"$41,349,182 ",0.40%,51.90%,34,Black Adam,"$23,712,485 "
23-Oct,Sunday,296,"$27,677,361 ",-33.10%,78.40%,33,Black Adam,"$16,603,514 "
24-Oct,Monday,297,"$8,220,793 ",-70.30%,72.10%,34,Black Adam,"$4,502,706 "
25-Oct,Tuesday,298,"$10,586,504 ",28.80%,82.70%,33,Black Adam,"$5,453,792 "
26-Oct,Wednesday,299,"$7,009,550 ",-33.80%,69.20%,33,Black Adam,"$3,353,669 "
27-Oct,Thursday,300,"$6,463,896 ",-7.80%,85.50%,35,Black Adam,"$3,124,177 "
28-Oct,Friday,301,"$19,554,153 ",202.50%,-52.50%,37,Black Adam,"$7,451,938 "
29-Oct,Saturday,302,"$26,108,515 ",33.50%,-36.90%,37,Black Adam,"$11,812,685 "
30-Oct,Sunday,303,"$18,278,615 ",-30%,-34%,36,Black Adam,"$8,207,517 "
Oct 31Halloween,Monday,304,"$7,047,076 ",-55%,-68.40%,34,Black Adam,"$1,977,587 "
1-Nov,Tuesday,305,"$6,737,881 ",-4.40%,-36.40%,33,Black Adam,"$2,604,658 "
2-Nov,Wednesday,306,"$4,534,367 ",-32.70%,-35.30%,35,Black Adam,"$1,720,811 "
3-Nov,Thursday,307,"$4,409,675 ",-2.70%,-31.80%,34,Black Adam,"$1,631,838 "
4-Nov,Friday,308,"$17,234,584 ",290.80%,-11.90%,34,One Piece Film: Red,"$4,838,903 "
5-Nov,Saturday,309,"$22,499,016 ",30.50%,-13.80%,34,Black Adam,"$8,296,544 "
6-Nov,Sunday,310,"$14,155,088 ",-37.10%,-22.60%,34,Black Adam,"$5,270,433 "
7-Nov,Monday,311,"$4,174,057 ",-70.50%,-40.80%,34,Black Adam,"$1,328,183 "
8-Nov,Tuesday,312,"$6,317,801 ",51.40%,-6.20%,33,Black Adam,"$2,055,912 "
9-Nov,Wednesday,313,"$3,634,689 ",-42.50%,-19.80%,34,Black Adam,"$1,070,591 "
10-Nov,Thursday,314,"$3,319,142 ",-8.70%,-24.70%,33,Black Adam,"$951,078 "
11-Nov,Friday,315,"$93,156,358 ",2706.60%,440.50%,31,Black Panther: Wakanda Forever,"$84,285,721 "
12-Nov,Saturday,316,"$66,610,882 ",-28.50%,196.10%,30,Black Panther: Wakanda Forever,"$56,131,051 "
13-Nov,Sunday,317,"$47,113,613 ",-29.30%,232.80%,29,Black Panther: Wakanda Forever,"$40,922,989 "
14-Nov,Monday,318,"$12,776,780 ",-72.90%,206.10%,29,Black Panther: Wakanda Forever,"$11,125,499 "
15-Nov,Tuesday,319,"$14,854,835 ",16.30%,135.10%,28,Black Panther: Wakanda Forever,"$12,636,707 "
16-Nov,Wednesday,320,"$9,783,542 ",-34.10%,169.20%,29,Black Panther: Wakanda Forever,"$8,110,601 "
17-Nov,Thursday,321,"$8,937,676 ",-8.60%,169.30%,27,Black Panther: Wakanda Forever,"$7,480,079 "
18-Nov,Friday,322,"$29,488,645 ",229.90%,-68.30%,30,Black Panther: Wakanda Forever,"$17,999,138 "
19-Nov,Saturday,323,"$41,248,978 ",39.90%,-38.10%,30,Black Panther: Wakanda Forever,"$28,772,668 "
20-Nov,Sunday,324,"$28,259,098 ",-31.50%,-40%,30,Black Panther: Wakanda Forever,"$19,710,460 "
Nov 21World Cup (Qatar),Monday,325,"$11,288,507 ",-92.90%,-11.60%,30,Black Panther: Wakanda Forever,"$7,002,759 "
Nov 22World Cup (Qatar),Tuesday,326,"$14,128,236 ",25.20%,-4.90%,30,Black Panther: Wakanda Forever,"$9,492,924 "
Nov 23World Cup (Qatar),Wednesday,327,"$21,821,636 ",54.50%,123%,33,Black Panther: Wakanda Forever,"$10,052,869 "
Nov 24ThanksgivingWorld Cup (Qatar),Thursday,328,"$17,101,407 ",-13.70%,-46.20%,31,Black Panther: Wakanda Forever,"$8,164,083 "
Nov 25World Cup (Qatar),Friday,329,"$35,559,618 ",107.90%,20.60%,29,Black Panther: Wakanda Forever,"$18,230,476 "
Nov 26World Cup (Qatar),Saturday,330,"$34,060,152 ",-4.20%,9002.60%,29,Black Panther: Wakanda Forever,"$17,599,193 "
Nov 27World Cup (Qatar),Sunday,331,"$20,116,146 ",-40.90%,-28.80%,28,Black Panther: Wakanda Forever,"$9,754,235 "
Nov 28World Cup (Qatar),Monday,332,"$4,597,554 ",-77.10%,737870.10%,24,Black Panther: Wakanda Forever,"$2,208,258 "
Nov 29World Cup (Qatar),Tuesday,333,"$5,848,911 ",27.20%,-58.60%,25,Black Panther: Wakanda Forever,"$2,681,411 "
Nov 30World Cup (Qatar),Wednesday,334,"$4,405,292 ",-24.70%,23.50%,24,Black Panther: Wakanda Forever,"$1,918,716 "
Dec 1World Cup (Qatar),Thursday,335,"$4,767,528 ",-37.70%,-72.10%,25,Black Panther: Wakanda Forever,"$1,851,240 "
Dec 2World Cup (Qatar),Friday,336,"$14,111,815 ",196%,-60.30%,30,Violent Night,"$4,869,770 "
Dec 31New Year's Eve,Saturday,365,"$27,962,493 ",1.30%,-40.30%,31,Avatar: The Way of Water,"$18,053,159 "
Dec 3World Cup (Qatar),Saturday,337,"$21,746,080 ",54.10%,373%,32,Black Panther: Wakanda Forever,"$8,171,837 "
Dec 4World Cup (Qatar),Sunday,338,"$13,327,779 ",-38.70%,-33.70%,30,Black Panther: Wakanda Forever,"$4,908,833 "
Dec 5World Cup (Qatar),Monday,339,"$3,895,004 ",-70.80%,-91.70%,30,Black Panther: Wakanda Forever,"$1,162,850 "
Dec 6World Cup (Qatar),Tuesday,340,"$5,526,292 ",41.90%,-5.50%,31,Black Panther: Wakanda Forever,"$1,567,075 "
Dec 7World Cup (Qatar),Wednesday,341,"$3,943,414 ",-28.60%,-10.50%,29,Black Panther: Wakanda Forever,"$1,144,653 "
Dec 8World Cup (Qatar),Thursday,342,"$3,792,849 ",-3.80%,-20.40%,30,Black Panther: Wakanda Forever,"$1,165,072 "
Dec 9World Cup (Qatar),Friday,343,"$8,846,320 ",133.20%,-37.30%,35,Black Panther: Wakanda Forever,"$2,860,689 "
Dec 10World Cup (Qatar),Saturday,344,"$15,466,337 ",74.80%,-28.90%,37,Black Panther: Wakanda Forever,"$5,178,818 "
Dec 11World Cup (Qatar),Sunday,345,"$9,510,921 ",-38.50%,-28.60%,36,Black Panther: Wakanda Forever,"$3,195,195 "
Dec 12World Cup (Qatar),Monday,346,"$2,938,862 ",-69.10%,-25.50%,34,Black Panther: Wakanda Forever,"$903,453 "
Dec 13World Cup (Qatar),Tuesday,347,"$3,932,901 ",33.80%,-28.80%,36,Black Panther: Wakanda Forever,"$1,144,342 "
Dec 14World Cup (Qatar),Wednesday,348,"$3,018,611 ",-23.20%,-23.50%,34,Black Panther: Wakanda Forever,"$909,059 "
Dec 15World Cup (Qatar),Thursday,349,"$2,282,964 ",-96%,-39.80%,33,Black Panther: Wakanda Forever,"$688,851 "
Dec 16World Cup (Qatar),Friday,350,"$57,866,360 ",2434.70%,554.10%,30,Avatar: The Way of Water,"$53,200,270 "
Dec 17World Cup (Qatar),Saturday,351,"$51,418,191 ",-11.10%,1649.60%,30,Avatar: The Way of Water,"$44,327,887 "
Dec 18World Cup (Qatar),Sunday,352,"$42,230,148 ",-17.90%,344%,31,Avatar: The Way of Water,"$36,572,069 "
19-Dec,Monday,353,"$19,052,001 ",-54.90%,548.30%,30,Avatar: The Way of Water,"$16,257,078 "
20-Dec,Tuesday,354,"$21,925,733 ",15.10%,457.50%,31,Avatar: The Way of Water,"$18,288,904 "
21-Dec,Wednesday,355,"$21,315,270 ",-2.80%,606.10%,31,Avatar: The Way of Water,"$14,403,438 "
22-Dec,Thursday,356,"$20,101,091 ",-5.70%,780.50%,30,Avatar: The Way of Water,"$14,632,040 "
23-Dec,Friday,357,"$29,211,733 ",45.30%,-49.50%,28,Avatar: The Way of Water,"$19,289,141 "
24-Dec,Saturday,358,"$21,255,461 ",-27.20%,-58.70%,28,Avatar: The Way of Water,"$14,869,288 "
Dec 25Christmas Day,Sunday,359,"$43,485,546 ",-23%,-54.60%,28,Avatar: The Way of Water,"$29,179,791 "
26-Dec,Monday,360,"$46,963,277 ",8%,146.50%,29,Avatar: The Way of Water,"$32,270,430 "
27-Dec,Tuesday,361,"$37,343,124 ",-20.50%,70.30%,28,Avatar: The Way of Water,"$24,128,503 "
28-Dec,Wednesday,362,"$31,866,473 ",-14.70%,49.50%,28,Avatar: The Way of Water,"$20,582,014 "
29-Dec,Thursday,363,"$31,204,428 ",-2.10%,55.20%,28,Avatar: The Way of Water,"$20,117,061 "
30-Dec,Friday,364,"$37,900,613 ",21.50%,29.70%,31,Avatar: The Way of Water,"$24,836,835 "
