Rank,Title,Lifetime Gross,Overall Rank,Year,MPA Rate
87,Home Alone 2: Lost in New York,"$173,585,516 ",301,1992,PG
88,Puss in Boots: The Last Wish,"$173,431,065 ",302,2022,PG
89,National Treasure,"$173,008,894 ",303,2004,PG
90,Tron: Legacy,"$172,062,763 ",309,2010,PG
91,Mary Poppins Returns,"$171,958,438 ",310,2018,PG
92,Hotel Transylvania 2,"$169,700,110 ",317,2015,PG
93,Hidden Figures,"$169,607,287 ",318,2016,PG
94,Three Men and a Baby,"$167,780,960 ",324,1987,PG
95,Hotel Transylvania 3: Summer Vacation,"$167,510,016 ",326,2018,PG
96,Kung Fu Panda 2,"$165,249,063 ",334,2011,PG
97,The SpongeBob Movie: Sponge Out of Water,"$162,994,032 ",342,2015,PG
98,Sing 2,"$162,790,990 ",346,2021,PG
99,Ice Age: Continental Drift,"$161,321,843 ",350,2012,PG
100,How to Train Your Dragon: The Hidden World,"$160,945,505 ",352,2019,PG
101,Shark Tale,"$160,861,908 ",355,2004,PG
102,The Secret Life of Pets 2,"$158,874,395 ",362,2019,PG
103,Who Framed Roger Rabbit,"$156,452,370 ",369,1988,PG
104,The Sting,"$156,000,000 ",370,1973,PG
105,Over the Hedge,"$155,019,340 ",377,2006,PG
106,Trolls,"$154,025,064 ",381,2016,PG
107,Gremlins,"$153,642,180 ",384,1984,PG
108,Scooby-Doo,"$153,322,074 ",385,2002,PG
109,Runaway Bride,"$152,257,509 ",388,1999,PG
110,Puss in Boots,"$149,260,504 ",399,2011,PG
111,Sonic the Hedgehog,"$148,974,665 ",400,2020,PG
112,Megamind,"$148,415,853 ",406,2010,PG
113,Hotel Transylvania,"$148,313,048 ",407,2012,PG
114,Paul Blart: Mall Cop,"$146,336,178 ",413,2009,PG
115,Lilo & Stitch,"$145,794,338 ",415,2002,PG
116,The Santa Clause,"$145,539,357 ",416,1994,PG
117,Pokémon: Detective Pikachu,"$144,174,568 ",425,2019,PG
118,Rio,"$143,619,809 ",428,2011,PG
119,Kung Fu Panda 3,"$143,528,619 ",429,2016,PG
120,Marley & Me,"$143,153,751 ",431,2008,PG
121,The Smurfs,"$142,614,158 ",432,2011,PG
122,The Chronicles of Narnia: Prince Caspian,"$141,621,490 ",436,2008,PG
123,Stuart Little,"$140,035,367 ",448,1999,PG
124,Sister Act,"$139,605,150 ",450,1992,PG
125,Cheaper by the Dozen,"$138,614,544 ",454,2003,PG
126,A Christmas Carol,"$137,855,863 ",460,2009,PG
127,Dinosaur,"$137,748,063 ",461,2000,PG
128,Teenage Mutant Ninja Turtles,"$135,384,756 ",473,1990,PG
129,Close Encounters of the Third Kind,"$135,189,114 ",474,1977,PG
130,Superman,"$134,478,449 ",481,1978,PG
131,Wonder,"$132,422,809 ",490,2017,PG
132,Fantastic Four: Rise of the Silver Surfer,"$131,921,738 ",495,2007,PG
133,The Last Airbender,"$131,772,187 ",496,2010,PG
134,"Honey, I Shrunk the Kids","$130,724,172 ",500,1989,PG
135,The Flintstones,"$130,531,208 ",501,1994,PG
136,Robots,"$128,200,012 ",517,2005,PG
137,Into the Woods,"$128,002,372 ",520,2014,PG
138,Rocky IV,"$127,873,716 ",521,1985,PG
139,Enchanted,"$127,807,262 ",522,2007,PG
140,Sleepless in Seattle,"$126,808,165 ",533,1993,PG
141,Smokey and the Bandit,"$126,737,428 ",534,1977,PG
142,Bee Movie,"$126,631,277 ",537,2007,PG
143,The Truman Show,"$125,618,201 ",541,1998,PG
144,Rocky III,"$125,049,125 ",549,1982,PG
145,Life of Pi,"$124,987,023 ",551,2012,PG
146,Cloudy with a Chance of Meatballs,"$124,870,275 ",553,2009,PG
147,Rango,"$123,477,607 ",560,2011,PG
148,The Good Dinosaur,"$123,087,120 ",563,2015,PG
149,The Hunt for Red October,"$122,012,643 ",567,1990,PG
150,Cloudy with a Chance of Meatballs 2,"$119,793,567 ",582,2013,PG
151,Hook,"$119,654,823 ",583,1991,PG
152,G-Force,"$119,436,770 ",586,2009,PG
153,On Golden Pond,"$119,285,432 ",588,1981,PG
154,Back to the Future Part II,"$119,000,002 ",591,1989,PG
155,Hairspray,"$118,946,291 ",592,2007,PG
156,A Series of Unfortunate Events,"$118,634,549 ",595,2004,PG
157,Lightyear,"$118,307,188 ",598,2022,PG
158,Rocky,"$117,235,147 ",606,1976,PG
159,The Towering Inferno,"$116,000,000 ",617,1974,PG
160,You've Got Mail,"$115,821,495 ",618,1998,PG
161,Remember the Titans,"$115,719,751 ",620,2000,PG
162,Peter Rabbit,"$115,253,424 ",624,2018,PG
163,Big,"$115,227,281 ",625,1988,PG
164,The Karate Kid Part II,"$115,103,979 ",627,1986,PG
165,American Graffiti,"$115,000,000 ",628,1973,PG
166,Dumbo,"$114,766,307 ",629,2019,PG
167,Bolt,"$114,053,579 ",633,2008,PG
168,Maleficent: Mistress of Evil,"$113,929,605 ",634,2019,PG
169,Night at the Museum: Secret of the Tomb,"$113,746,621 ",637,2014,PG
170,The Pacifier,"$113,086,868 ",642,2005,PG
171,Dr. Dolittle 2,"$112,952,899 ",643,2001,PG
172,Spy Kids,"$112,719,001 ",646,2001,PG
173,Ghostbusters II,"$112,494,738 ",647,1989,PG
174,Twins,"$111,938,388 ",650,1988,PG
175,Spy Kids 3: Game Over,"$111,761,982 ",651,2003,PG
176,Mr. Peabody & Sherman,"$111,506,430 ",655,2014,PG
177,Freaky Friday,"$110,230,332 ",665,2003,PG
178,Bedtime Stories,"$110,101,975 ",667,2008,PG
179,Star Trek IV: The Voyage Home,"$109,713,132 ",670,1986,PG
180,Crocodile Dundee II,"$109,306,210 ",672,1988,PG
181,Hop,"$108,498,305 ",677,2011,PG
182,Terms of Endearment,"$108,423,489 ",678,1983,PG
183,Superman II,"$108,185,706 ",683,1981,PG
184,Little Women,"$108,101,214 ",684,2019,PG
185,A League of Their Own,"$107,533,928 ",688,1992,PG
186,Epic,"$107,518,682 ",689,2013,PG
187,The Angry Birds Movie,"$107,509,366 ",691,2016,PG
188,Driving Miss Daisy,"$106,593,296 ",699,1989,PG
189,Love Story,"$106,550,690 ",701,1970,PG
190,Kramer vs. Kramer,"$106,260,000 ",703,1979,PG
191,The Lego Movie 2: The Second Part,"$105,956,290 ",705,2019,PG
192,The First Wives Club,"$105,489,203 ",708,1996,PG
193,George of the Jungle,"$105,263,257 ",712,1997,PG
194,The Graduate,"$104,945,305 ",714,1967,PG
195,Phenomenon,"$104,636,382 ",716,1996,PG
196,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950 ",720,2010,PG
197,Daddy Day Care,"$104,297,061 ",721,2003,PG
198,Journey 2: The Mysterious Island,"$103,887,748 ",724,2012,PG
199,Dick Tracy,"$103,738,726 ",726,1990,PG
200,Rise of the Guardians,"$103,412,758 ",727,2012,PG
